experimento,tamanho_texto,tamanho_padrao,ocorrencias_esperadas,algoritmo,tempo_ms,tempo_preprocessamento_ms,comparacoes,ocorrencias_encontradas
texto_grande,99985,15,8,Força Bruta,0.36500,0.00000,101627,8
texto_grande,99985,15,8,Rabin-Karp,3.69700,0.03200,201120,8
texto_grande,99985,15,8,KMP,0.32700,0.00200,199872,8
texto_grande,99985,15,8,Boyer-Moore,0.03800,0.00300,274,8
texto_grande,99985,15,8,Boyer-Moore-Horspool,0.15500,0.00900,14930,8
texto_grande,99985,15,8,Boyer-Moore-Horspool-Sunday,0.19200,0.01900,14269,8
